Grid_Number,Che_n_Connectivity
0,21.0
1,31.0
2,32.0
3,41.0
4,41.0
5,39.0
6,38.0
7,30.0
8,19.0
9,21.0
10,35.0
11,37.0
12,38.0
13,37.0
14,38.0
15,32.0
16,26.0
17,23.0
18,12.0
19,27.0
20,36.0
21,39.0
22,49.0
23,50.0
24,49.0
25,50.0
26,1.0
27,0.0
28,1.0
29,0.0
30,53.0
31,56.0
32,56.0
33,54.0
34,44.0
35,38.0
36,31.0
37,19.0
38,35.0
39,42.0
40,49.0
41,55.0
42,61.0
43,61.0
44,61.0
45,1.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,2.0
52,2.0
53,61.0
54,56.0
55,40.0
56,24.0
57,39.0
58,1.0
59,1.0
60,60.0
61,69.0
62,69.0
63,74.0
64,71.0
65,0.0
66,0.0
67,0.0
68,2.0
69,3.0
70,2.0
71,1.0
72,1.0
73,63.0
74,53.0
75,27.0
76,48.0
77,1.0
78,4.0
79,3.0
80,4.0
81,3.0
82,2.0
83,1.0
84,2.0
85,1.0
86,2.0
87,4.0
88,2.0
89,6.0
90,1.0
91,1.0
92,70.0
93,58.0
94,29.0
95,45.0
96,0.0
97,2.0
98,1.0
99,3.0
100,98.0
101,98.0
102,1.0
103,3.0
104,1.0
105,2.0
106,3.0
107,1.0
108,8.0
109,93.0
110,1.0
111,74.0
112,58.0
113,32.0
114,37.0
115,52.0
116,2.0
117,2.0
118,99.0
119,109.0
120,1.0
121,2.0
122,2.0
123,3.0
124,2.0
125,1.0
126,2.0
127,4.0
128,2.0
129,86.0
130,69.0
131,56.0
132,35.0
133,35.0
134,54.0
135,0.0
136,82.0
137,99.0
138,113.0
139,119.0
140,119.0
141,2.0
142,2.0
143,2.0
144,129.0
145,1.0
146,116.0
147,1.0
148,2.0
149,2.0
150,53.0
151,35.0
152,32.0
153,1.0
154,3.0
155,3.0
156,93.0
157,103.0
158,112.0
159,115.0
160,2.0
161,2.0
162,2.0
163,135.0
164,2.0
165,1.0
166,1.0
167,5.0
168,1.0
169,1.0
170,42.0
171,31.0
172,1.0
173,2.0
174,2.0
175,5.0
176,92.0
177,101.0
178,103.0
179,5.0
180,1.0
181,4.0
182,1.0
183,2.0
184,1.0
185,1.0
186,3.0
187,5.0
188,1.0
189,49.0
190,25.0
191,38.0
192,43.0
193,54.0
194,73.0
195,80.0
196,90.0
197,4.0
198,8.0
199,2.0
200,1.0
201,2.0
202,6.0
203,2.0
204,1.0
205,3.0
206,2.0
207,2.0
208,47.0
209,20.0
210,29.0
211,36.0
212,46.0
213,65.0
214,67.0
215,70.0
216,82.0
217,3.0
218,3.0
219,2.0
220,3.0
221,5.0
222,8.0
223,2.0
224,5.0
225,2.0
226,3.0
227,45.0
228,10.0
229,21.0
230,30.0
231,38.0
232,45.0
233,60.0
234,65.0
235,71.0
236,69.0
237,86.0
238,89.0
239,96.0
240,97.0
241,9.0
242,1.0
243,3.0
244,2.0
245,2.0
246,41.0
247,3.0
248,9.0
249,16.0
250,24.0
251,34.0
252,44.0
253,49.0
254,47.0
255,51.0
256,68.0
257,76.0
258,77.0
259,73.0
260,1.0
261,4.0
262,5.0
263,4.0
264,4.0
265,37.0
266,3.0
267,3.0
268,6.0
269,10.0
270,13.0
271,17.0
272,25.0
273,28.0
274,30.0
275,37.0
276,54.0
277,58.0
278,63.0
279,64.0
280,60.0
281,56.0
282,52.0
283,39.0
284,30.0
