Grid_Number,Kol_popu_Education
0,-1.0
1,792.0
2,1833.0
3,1074.0
4,526.0
5,5282.0
6,-1.0
7,761.0
8,890.0
9,-1.0
10,-1.0
11,1095.0
12,1629.0
13,-1.0
14,-1.0
15,1460.0
16,617.0
17,1336.0
18,1810.0
19,1233.0
20,1708.0
21,661.0
22,526.0
23,492.0
24,2367.0
25,1182.0
26,2186.0
27,2099.0
28,2611.0
29,1113.0
30,3404.0
31,9364.0
32,4902.0
33,2980.0
34,1814.0
35,882.0
36,2601.0
37,1763.0
38,199.0
39,3208.0
40,444.0
41,3760.0
42,3316.0
43,1414.0
44,3020.0
45,19463.0
46,7846.0
47,2657.0
48,972.0
49,2589.0
50,724.0
51,930.0
52,1997.0
53,1714.0
54,938.0
55,-1.0
56,3546.0
57,5647.0
58,2533.0
59,13968.0
60,1944.0
61,3277.0
62,4865.0
63,900.0
64,2382.0
65,5950.0
66,5347.0
67,1649.0
68,1489.0
69,1262.0
70,4344.0
71,4609.0
72,555.0
73,1313.0
74,1420.0
75,3486.0
76,3770.0
77,567.0
78,1260.0
79,795.0
80,755.0
81,2606.0
82,1500.0
83,1581.0
84,-1.0
85,1286.0
86,7708.0
87,20473.0
88,8611.0
89,8171.0
90,5879.0
91,1198.0
92,2352.0
93,2365.0
94,4139.0
95,4589.0
96,2580.0
97,-1.0
98,-1.0
99,2652.0
100,3303.0
101,5198.0
102,870.0
103,2238.0
104,2789.0
105,5005.0
106,4977.0
107,2147.0
108,3191.0
109,9296.0
110,3969.0
111,2829.0
112,-1.0
113,2065.0
114,1542.0
115,8055.0
116,2441.0
117,2099.0
118,1617.0
119,1915.0
120,3610.0
121,12187.0
122,4103.0
123,492.0
124,3716.0
125,1077.0
126,1755.0
127,1956.0
128,1126.0
129,4151.0
130,1942.0
131,1427.0
132,7175.0
133,1922.0
134,3305.0
135,4611.0
136,1699.0
137,2539.0
138,1403.0
139,-1.0
140,5758.0
141,5241.0
142,6486.0
143,6189.0
144,4293.0
145,10713.0
146,6752.0
147,6305.0
148,5563.0
149,3452.0
150,2725.0
151,6193.0
152,10865.0
153,2687.0
154,3035.0
155,2451.0
156,4947.0
157,5217.0
158,4887.0
159,6546.0
160,3901.0
161,5083.0
162,3766.0
163,10584.0
164,3020.0
165,9572.0
166,6471.0
167,1790.0
168,3877.0
169,4851.0
170,2562.0
171,3978.0
172,5587.0
173,16894.0
174,14215.0
175,3633.0
176,9985.0
177,3154.0
178,7120.0
179,20535.0
180,6441.0
181,-1.0
182,-1.0
183,8276.0
184,-1.0
185,3540.0
186,1985.0
187,-1.0
188,9219.0
189,6351.0
190,2008.0
191,1431.0
192,4956.0
193,4250.0
194,-1.0
195,-1.0
