Grid_Number,Del_n_Health
0,12.0
1,13.0
2,12.0
3,11.0
4,11.0
5,10.0
6,9.0
7,21.0
8,25.0
9,20.0
10,20.0
11,20.0
12,19.0
13,12.0
14,11.0
15,8.0
16,8.0
17,7.0
18,7.0
19,3.0
20,3.0
21,3.0
22,3.0
23,4.0
24,4.0
25,3.0
26,4.0
27,5.0
28,4.0
29,6.0
30,5.0
31,5.0
32,8.0
33,8.0
34,7.0
35,11.0
36,10.0
37,12.0
38,5.0
39,10.0
40,10.0
41,10.0
42,13.0
43,12.0
44,10.0
45,10.0
46,10.0
47,10.0
48,3.0
49,12.0
50,13.0
51,13.0
52,13.0
53,11.0
54,11.0
55,21.0
56,25.0
57,25.0
58,20.0
59,20.0
60,20.0
61,24.0
62,24.0
63,12.0
64,10.0
65,8.0
66,7.0
67,7.0
68,7.0
69,6.0
70,7.0
71,4.0
72,5.0
73,6.0
74,6.0
75,6.0
76,7.0
77,9.0
78,9.0
79,7.0
80,9.0
81,8.0
82,8.0
83,8.0
84,12.0
85,10.0
86,13.0
87,13.0
88,10.0
89,10.0
90,14.0
91,15.0
92,13.0
93,13.0
94,10.0
95,10.0
96,10.0
97,6.0
98,7.0
99,14.0
100,14.0
101,14.0
102,12.0
103,11.0
104,29.0
105,33.0
106,31.0
107,20.0
108,20.0
109,26.0
110,26.0
111,28.0
112,15.0
113,13.0
114,12.0
115,9.0
116,9.0
117,10.0
118,6.0
119,7.0
120,6.0
121,8.0
122,7.0
123,8.0
124,9.0
125,9.0
126,11.0
127,12.0
128,9.0
129,12.0
130,10.0
131,9.0
132,12.0
133,13.0
134,12.0
135,13.0
136,13.0
137,14.0
138,14.0
139,16.0
140,15.0
141,14.0
142,14.0
143,11.0
144,13.0
145,13.0
146,6.0
147,11.0
148,18.0
149,17.0
150,15.0
151,15.0
152,23.0
153,38.0
154,40.0
155,34.0
156,34.0
157,33.0
158,26.0
159,28.0
160,31.0
161,24.0
162,19.0
163,16.0
164,16.0
165,20.0
166,19.0
167,12.0
168,7.0
169,6.0
170,8.0
171,10.0
172,10.0
173,9.0
174,13.0
175,23.0
176,23.0
177,22.0
178,19.0
179,12.0
180,10.0
181,11.0
182,13.0
183,15.0
184,13.0
185,13.0
186,17.0
187,14.0
188,16.0
189,15.0
190,14.0
191,15.0
192,20.0
193,33.0
194,39.0
195,32.0
196,12.0
197,13.0
198,20.0
199,21.0
200,27.0
201,33.0
202,38.0
203,35.0
204,33.0
205,35.0
206,35.0
207,29.0
208,30.0
209,34.0
210,30.0
211,23.0
212,16.0
213,25.0
214,26.0
215,24.0
216,19.0
217,16.0
218,9.0
219,11.0
220,13.0
221,13.0
222,27.0
223,39.0
224,59.0
225,68.0
